"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"679";"Man City";"Angleterre";"Premier League";"Professional";"53400";"11"
"1708";"Barcelone";"Espagne";"Première Division";"Professional";"62500";"67"
"1736";"R. Madrid";"Espagne";"Première Division";"Professional";"83186";"67"
"2000099871";"Chelsea";"Angleterre";"WSL";"Professional";"4352";"2000101095"
"2000149869";"OL";"France";"Division 1";"Professional";"59186";"2000149107"
"2000167899";"Barcelona";"Espagne";"Première Division";"Professional";"6000";"2000167898"
"676";"Liverpool";"Angleterre";"Premier League";"Professional";"61276";"11"
"2000104296";"Arsenal";"Angleterre";"WSL";"Professional";"60704";"2000101095"
"915";"FC Bayern München";"Allemagne";"Bundesliga";"Professional";"75000";"22"
"1687";"A. Madrid";"Espagne";"Première Division";"Professional";"70692";"67"
"868";"Paris SG";"France";"Ligue 1 McDonald's";"Professional";"47926";"16"
"602";"Arsenal";"Angleterre";"Premier League";"Professional";"60704";"11"
"2000104573";"Man City";"Angleterre";"WSL";"Professional";"6200";"2000101095"
"2000148292";"FC Bayern München";"Allemagne";"GP Frauen-Bundesliga";"Professional";"4000";"2000148115"
"1135";"Blu-neri";"Italie";"Serie A";"Professional";"80018";"32"
"1139";"Juventus";"Italie";"Serie A";"Professional";"41507";"32"
"630";"Chelsea";"Angleterre";"Premier League";"Professional";"40343";"11"
"2000148221";"VfL Wolfsburg";"Allemagne";"GP Frauen-Bundesliga";"Professional";"5200";"2000148115"
"1099";"Casciavit";"Italie";"Serie A";"Professional";"80018";"32"
"2000104574";"Man Utd";"Angleterre";"WSL";"Professional";"12000";"2000101095"
"2000192381";"Angel City FC";"États-Unis";"NWSL";"Professional";"22000";"2000132563"
"680";"Man Utd";"Angleterre";"Premier League";"Professional";"74879";"11"
"1150";"Parthenope";"Italie";"Serie A";"Professional";"60240";"32"
"907";"Borussia Dortmund";"Allemagne";"Bundesliga";"Professional";"81365";"22"
"1487";"Benfica";"Portugal";"Première Ligue";"Professional";"68118";"60"
"1478";"FC Porto";"Portugal";"Première Ligue";"Professional";"50033";"60"
"1742";"Real San Sebastián";"Espagne";"Première Division";"Professional";"39500";"67"
"1777";"Villarreal";"Espagne";"Première Division";"Professional";"23000";"67"
"901";"Bayer 04 Leverkusen";"Allemagne";"Bundesliga";"Professional";"30210";"22"
"1664";"A. Bilbao";"Espagne";"Première Division";"Professional";"53332";"67"
"1733";"Real Hispalis";"Espagne";"Première Division";"Professional";"70000";"67"
"2000192337";"KC Current";"États-Unis";"NWSL";"Professional";"11500";"2000132563"
"1100";"AS Roma";"Italie";"Serie A";"Professional";"68708";"32"
"2000149870";"Paris SG";"France";"Division 1";"Professional";"5000";"2000149107"
"1871";"Galatasaray";"Turquie";"Super League";"Professional";"53978";"130286"
"2000132567";"Washington Spirit";"États-Unis";"NWSL";"Professional";"19993";"2000132563"
"2000167907";"R. Madrid";"Espagne";"Première Division";"Professional";"6000";"2000167898"
"2000134582";"Portland Thorns";"États-Unis";"NWSL";"Professional";"25000";"2000132563"
"866";"Olympique de Marseille";"France";"Ligue 1 McDonald's";"Professional";"67000";"16"
"2000134591";"Orlando Pride";"États-Unis";"NWSL";"Professional";"25500";"2000132563"
"2000134698";"Gotham FC";"États-Unis";"NWSL";"Professional";"25219";"2000132563"
"728";"Spurs";"Angleterre";"Premier League";"Professional";"62850";"11"
"865";"OL";"France";"Ligue 1 McDonald's";"Professional";"59186";"16"
"2000134588";"NC Courage";"États-Unis";"NWSL";"Professional";"10000";"2000132563"
"2000176318";"Juventus";"Italie";"Serie A Women Athora";"Professional";"5827";"2000168606"
"2000183849";"Paris FC";"France";"Division 1";"Professional";"19151";"2000149107"
"322";"FLA";"Brésil";"1ère Division";"Professional";"78838";"102423"
"1106";"Bergamo";"Italie";"Serie A";"Professional";"23439";"32"
"1140";"Celesti";"Italie";"Serie A";"Professional";"68708";"32"
"2000134587";"Seattle Reign";"États-Unis";"NWSL";"Professional";"68740";"2000132563"
"329";"SEP";"Brésil";"1ère Division";"Professional";"31452";"102423"
"688";"Newcastle";"Angleterre";"Premier League";"Professional";"52305";"11"
"2000204773";"San Diego Wave FC";"États-Unis";"NWSL";"Professional";"35000";"2000132563"
"826";"AS Monaco";"France";"Ligue 1 McDonald's";"Professional";"17000";"16"
"1489";"Sporting CP";"Portugal";"Première Ligue";"Professional";"52350";"60"
"1759";"Sevilla";"Espagne";"Première Division";"Professional";"45500";"67"
"2000134701";"Racing Louisville";"États-Unis";"NWSL";"Professional";"15304";"2000132563"
"1870";"Fenerbahçe";"Turquie";"Super League";"Professional";"47430";"130286"
"91013388";"RB Leipzig";"Allemagne";"Bundesliga";"Professional";"47800";"22"
"2000108015";"London City";"Angleterre";"WSL";"Professional";"3075";"2000101095"
"2000134660";"Chicago Stars";"États-Unis";"NWSL";"Professional";"28000";"2000132563"
"2000167900";"A. Madrid";"Espagne";"Première Division";"Professional";"2700";"2000167898"
"2000209836";"Roma";"Italie";"Serie A Women Athora";"Professional";"2983";"2000168606"
"2000316318";"Bay FC";"États-Unis";"NWSL";"Professional";"18000";"2000132563"
"1028";"PSV";"Pays-Bas";"Eredivisie";"Professional";"35150";"29"
"1129";"Fiorentina";"Italie";"Serie A";"Professional";"43147";"32"
"316";"BOT";"Brésil";"1ère Division";"Professional";"44461";"102423"
"992";"Ajax";"Pays-Bas";"Eredivisie";"Professional";"55500";"29"
"1775";"Valencia";"Espagne";"Première Division";"Professional";"49430";"67"
"1301108";"Zenit";"Russie";"Première Ligue";"Professional";"64287";"130486"
"319";"COR";"Brésil";"1ère Division";"Professional";"48905";"102423"
"912";"Eintracht Frankfurt";"Allemagne";"Bundesliga";"Professional";"58000";"22"
"94";"River Plate";"Argentine";"1ère Division";"Professional";"86000";"102421"
"321";"CEC";"Brésil";"1ère Division";"Professional";"61846";"102423"
"858";"LOSC";"France";"Ligue 1 McDonald's";"Professional";"49966";"16"
"1253";"Club América";"Mexique";"1ère Division";"Professional";"35161";"135973"
"1866";"Besiktas";"Turquie";"Super League";"Professional";"42445";"130286"
"2000167903";"Levante";"Espagne";"Première Division";"Professional";"2500";"2000167898"
"82";"Boca";"Argentine";"1ère Division";"Professional";"54000";"102421"
"323";"FLU";"Brésil";"1ère Division";"Professional";"78838";"102423"
"960";"VfB Stuttgart";"Allemagne";"Bundesliga";"Professional";"60058";"22"
"981";"Olympiacos";"Grèce";"Super League 1";"Professional";"33449";"129650"
"1013";"Feyenoord";"Pays-Bas";"Eredivisie";"Professional";"51177";"29"
"2000134695";"Houston Dash";"États-Unis";"NWSL";"Professional";"22039";"2000132563"
"2000148286";"Eintracht Frankfurt";"Allemagne";"GP Frauen-Bundesliga";"Professional";"5750";"2000148115"
"2000260284";"Utah Royals";"États-Unis";"NWSL";"Professional";"20252";"2000132563"
"1255";"Chivas";"Mexique";"1ère Division";"Professional";"49850";"135973"
"1724";"Vigo";"Espagne";"Première Division";"Professional";"24870";"67"
"58029064";"Krasnodar";"Russie";"Première Ligue";"Professional";"35179";"130486"
"2000167901";"A. Bilbao";"Espagne";"Première Division";"Professional";"3200";"2000167898"
"186";"Club Brugge";"Belgique";"Jupiler Pro League";"Professional";"29062";"1"
"884";"Rennes";"France";"Ligue 1 McDonald's";"Professional";"29194";"16"
"1111";"Bologna";"Italie";"Serie A";"Professional";"31007";"32"
