"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Mbappé, Kylian";"France";"AM RL, ST";"R. Madrid";"90";"50";"576420";"202953590";"20.12.1998";"30.06.2029";"85139014";"1736"
"Kane, Harry";"Angleterre / Irlande";"AM/F C";"FC Bayern München";"107";"73";"442190";"347999990";"28.07.1993";"30.06.2027";"28049320";"915"
"Haaland, Erling";"Norvège / Angleterre";"ST";"Man City";"43";"42";"522000";"207651610";"21.07.2000";"30.06.2034";"29179241";"679"
"Dembélé, Ousmane";"France / Mauritanie";"AM RL, ST";"Paris SG";"56";"7";"385570";"317739020";"15.05.1997";"30.06.2028";"85140178";"868"
"Rice, Declan";"Angleterre / Irlande";"DM";"Arsenal";"66";"5";"290000";"169128010";"14.01.1999";"30.06.2028";"28106491";"602"
"Courtois, Thibaut";"Belgique";"GK";"R. Madrid";"103";"0";"296780";"57276780";"11.05.1992";"30.06.2026";"18026122";"1736"
"Saka, Bukayo";"Angleterre / Nigeria";"AM RL";"Arsenal";"44";"12";"348000";"286108220";"05.09.2001";"30.06.2031";"28122642";"602"
"Salah, Mohamed";"Égypte";"AM RL, ST";"Liverpool";"104";"58";"464000";"347999990";"15.06.1992";"30.06.2027";"98028755";"676"
"van Dijk, Virgil";"Pays-Bas / Suriname";"D C";"Liverpool";"81";"10";"406000";"347999990";"08.07.1991";"30.06.2027";"37024025";"676"
"Rodri";"Espagne";"D C, DM";"Man City";"56";"4";"191400";"155034000";"22.06.1996";"30.06.2027";"67217524";"679"
"Kimmich, Joshua";"Allemagne";"D/WB R, DM";"FC Bayern München";"101";"8";"365290";"141519490";"08.02.1995";"30.06.2029";"92039023";"915"
"Alisson";"Brésil";"GK";"Liverpool";"74";"0";"272600";"347999990";"02.10.1992";"30.06.2027";"19058734";"676"
"Saliba, William";"France / Cameroun / Liban";"D C";"Arsenal";"28";"0";"255200";"128726740";"24.03.2001";"30.06.2030";"49039004";"602"
"Silva, Bernardo";"Portugal";"AM RC";"Man City";"102";"13";"290000";"83994250";"10.08.1994";"30.06.2026";"55041632";"679"
"Pedri";"Espagne";"DM, AM C";"Barcelone";"33";"3";"240590";"190039620";"25.11.2002";"30.06.2030";"67293495";"1708"
"Vitinha";"Portugal";"DM";"Paris SG";"29";"0";"125120";"222416760";"13.02.2000";"30.06.2029";"83174762";"868"
"Raphinha";"Brésil / Italie";"AM RLC";"Barcelone";"34";"11";"280690";"80198390";"14.12.1996";"30.06.2028";"19242277";"1708"
"Bellingham, Jude";"Angleterre / Irlande";"AM LC";"R. Madrid";"44";"6";"399890";"185620100";"29.06.2003";"30.06.2029";"29232937";"1736"
"Ødegaard, Martin";"Norvège";"AM C";"Arsenal";"65";"3";"261000";"150555240";"17.12.1998";"30.06.2028";"53095137";"602"
"Hakimi, Achraf";"Maroc / Espagne";"D/WB/M R";"Paris SG";"84";"11";"280500";"241970500";"04.11.1998";"30.06.2029";"67228634";"868"
"Messi, Lionel";"Argentine / Espagne";"AM RC, F C";"Inter Miami";"193";"112";"257620";"347999990";"24.06.1987";"31.12.2028";"7458500";"72052048"
"Vinícius Júnior";"Brésil / Espagne";"AM L, ST";"R. Madrid";"41";"7";"399890";"106812960";"12.07.2000";"30.06.2027";"19302146";"1736"
"Olise, Michael";"France / Angleterre / Nigeria";"AM RC";"FC Bayern München";"8";"2";"259550";"220622770";"12.12.2001";"30.06.2029";"29221846";"915"
"Fernandes, Bruno";"Portugal";"DM, AM C";"Man Utd";"80";"25";"348000";"142623560";"08.09.1994";"30.06.2027";"43124203";"680"
"Valverde, Federico";"Uruguay / Espagne";"DM, AM RC";"R. Madrid";"69";"8";"210310";"96640300";"22.07.1998";"30.06.2029";"78074594";"1736"
"Lamine Yamal";"Espagne / Maroc / Guinée Éq.";"AM R";"Barcelone";"21";"6";"325810";"313199990";"13.07.2007";"30.06.2031";"2000256231";"1708"
"James, Reece";"Angleterre";"D RC, DM";"Chelsea";"19";"1";"290000";"112752000";"08.12.1999";"30.06.2032";"28108035";"630"
"Palmer, Cole";"Angleterre / Saint-Kitts";"AM RLC";"Chelsea";"12";"2";"150800";"242416830";"06.05.2002";"30.06.2033";"28120042";"630"
"De Bruyne, Kevin";"Belgique";"AM C";"Parthenope";"111";"31";"214180";"347999990";"28.06.1991";"30.06.2027";"18004457";"1150"
"Wirtz, Florian";"Allemagne";"AM RLC";"Liverpool";"31";"7";"232000";"211879800";"03.05.2003";"30.06.2030";"91193048";"676"
"Martínez, Lautaro";"Argentine";"ST";"Blu-neri";"64";"29";"321370";"125435290";"22.08.1997";"30.06.2029";"14110660";"1135"
"Álvarez, Julián";"Argentine / Italie";"AM RLC, F C";"A. Madrid";"46";"13";"150370";"133981430";"31.01.2000";"30.06.2030";"14183207";"1687"
"Gabriel";"Brésil";"D C";"Arsenal";"14";"1";"220400";"103675000";"19.12.1997";"30.06.2029";"19242094";"602"
